METHOD,URL,FRONTEND,BACKEND
DELETE,/monitor/cache/clearCacheAll,Y,Y
DELETE,/monitor/cache/clearCacheKey/,Y,X
DELETE,/monitor/cache/clearCacheKey/{cacheKey},X,Y
DELETE,/monitor/cache/clearCacheName/,Y,X
DELETE,/monitor/cache/clearCacheName/{cacheName},X,Y
DELETE,/monitor/job/,Y,X
DELETE,/monitor/job/{jobIds},X,Y
DELETE,/monitor/jobLog/,Y,X
DELETE,/monitor/jobLog/clean,Y,Y
DELETE,/monitor/jobLog/{jobLogIds},X,Y
DELETE,/monitor/logininfor/,Y,X
DELETE,/monitor/logininfor/clean,Y,Y
DELETE,/monitor/logininfor/{infoIds},X,Y
DELETE,/monitor/online/,Y,X
DELETE,/monitor/online/{tokenId},X,Y
DELETE,/monitor/operlog/,Y,X
DELETE,/monitor/operlog/clean,Y,Y
DELETE,/monitor/operlog/{operIds},X,Y
DELETE,/system/config/,Y,X
DELETE,/system/config/refreshCache,Y,Y
DELETE,/system/config/{configIds},X,Y
DELETE,/system/dept/,Y,X
DELETE,/system/dept/{deptId},X,Y
DELETE,/system/dict/data/,Y,X
DELETE,/system/dict/data/{dictCodes},X,Y
DELETE,/system/dict/type/,Y,X
DELETE,/system/dict/type/refreshCache,Y,Y
DELETE,/system/dict/type/{dictIds},X,Y
DELETE,/system/menu/,Y,X
DELETE,/system/menu/{menuId},X,Y
DELETE,/system/notice/,Y,X
DELETE,/system/notice/{noticeIds},X,Y
DELETE,/system/post/,Y,X
DELETE,/system/post/{postIds},X,Y
DELETE,/system/role/,Y,X
DELETE,/system/role/{roleIds},X,Y
DELETE,/system/user/,Y,X
DELETE,/system/user/{userIds},X,Y
DELETE,/test/user/{userId},X,Y
DELETE,/tool/gen/,Y,X
DELETE,/tool/gen/{tableIds},X,Y
GET,//,X,Y
GET,/captchaImage,Y,Y
GET,/common/common,X,Y
GET,/common/download,X,Y
GET,/common/download/resource,X,Y
GET,/getInfo,Y,Y
GET,/getRouters,Y,Y
GET,/monitor/cache,Y,X
GET,/monitor/cache/,X,Y
GET,/monitor/cache/getKeys/,Y,X
GET,/monitor/cache/getKeys/{cacheName},X,Y
GET,/monitor/cache/getNames,Y,Y
GET,/monitor/cache/getValue/,Y,X
GET,/monitor/cache/getValue/{cacheName}/{cacheKey},X,Y
