当前接口探测仅做参考
✅ 找到 113 个 API 接口（已去重）:

GET    /captchaImage                            (getCode in CaptchaController.java)
GET    /common/download                         (fileDownload in CommonController.java)
GET    /common/download/resource                (resourceDownload in CommonController.java)
POST   /common/upload                           (uploadFile in CommonController.java)
POST   /common/uploads                          (uploadFiles in CommonController.java)
GET    /getInfo                                 (getInfo in SysLoginController.java)
GET    /getRouters                              (getRouters in SysLoginController.java)
POST   /login                                   (login in SysLoginController.java)
GET    /monitor/cache                           (getInfo in CacheController.java)
DELETE /monitor/cache/clearCacheAll             (clearCacheAll in CacheController.java)
DELETE /monitor/cache/clearCacheKey/{cacheKey}  (clearCacheKey in CacheController.java)
DELETE /monitor/cache/clearCacheName/{cacheName} (clearCacheName in CacheController.java)
GET    /monitor/cache/getKeys/{cacheName}       (getCacheKeys in CacheController.java)
GET    /monitor/cache/getNames                  (cache in CacheController.java)
GET    /monitor/cache/getValue/{cacheName}/{cacheKey} (getCacheValue in CacheController.java)
DELETE /monitor/logininfor/clean                (clean in SysLogininforController.java)
POST   /monitor/logininfor/export               (export in SysLogininforController.java)
GET    /monitor/logininfor/list                 (list in SysLogininforController.java)
GET    /monitor/logininfor/unlock/{userName}    (unlock in SysLogininforController.java)
DELETE /monitor/logininfor/{infoIds}            (remove in SysLogininforController.java)
GET    /monitor/online/list                     (list in SysUserOnlineController.java)
DELETE /monitor/online/{tokenId}                (forceLogout in SysUserOnlineController.java)
DELETE /monitor/operlog/clean                   (clean in SysOperlogController.java)
POST   /monitor/operlog/export                  (export in SysOperlogController.java)
GET    /monitor/operlog/list                    (list in SysOperlogController.java)
DELETE /monitor/operlog/{operIds}               (remove in SysOperlogController.java)
GET    /monitor/server                          (getInfo in ServerController.java)
POST   /register                                (register in SysRegisterController.java)
GET    /system/config                           (getInfo in SysConfigController.java)
POST   /system/config                           (add in SysConfigController.java)
PUT    /system/config                           (edit in SysConfigController.java)
POST   /system/config/export                    (export in SysConfigController.java)
GET    /system/config/list                      (list in SysConfigController.java)
DELETE /system/config/refreshCache              (refreshCache in SysConfigController.java)
DELETE /system/config/{configIds}               (remove in SysConfigController.java)
GET    /system/dept                             (getInfo in SysDeptController.java)
POST   /system/dept                             (add in SysDeptController.java)
PUT    /system/dept                             (edit in SysDeptController.java)
GET    /system/dept/list                        (list in SysDeptController.java)
GET    /system/dept/list/exclude/{deptId}       (excludeChild in SysDeptController.java)
DELETE /system/dept/{deptId}                    (remove in SysDeptController.java)
GET    /system/dict/data                        (getInfo in SysDictDataController.java)
POST   /system/dict/data                        (add in SysDictDataController.java)
PUT    /system/dict/data                        (edit in SysDictDataController.java)
